siret,adresse,"Intitulés de la  NAF rév. 2, version finale"
03874491800012,54 AVENUE DE SAINT-OUEN PARIS 75018,Activités combinées de soutien lié aux bâtiments
30410129800012,RUE DE SALINS FORGES 77130,Enseignement secondaire technique ou professionnel
26690005900095,74 MONTEE DES ETOUX BEAUJEU 69430,Accueil ou accompagnement sans hébergement d’adultes handicapés ou de  personnes âgées
21540086200011,1 PLACE DU SOUVENIR BOUCQ 54200,Administration publique générale
21210698300027,ROUTE DE MAREY VILLERS-LA-FAYE 21700,Enseignement pré-primaire
13001982100011,380 RUE DE L'HOPITAL SALLANCHES 74700 HOPITAUX DU MONT BLANC,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
21250231400033,EYSSON 25530 MAIRIE,Exploitation forestière
21050153200092,SAINT-MICHEL-DE-CHAILLOL 05260 HOTEL DE VILLE,"Captage, traitement et distribution d'eau"
20006734600151,2 RUE DU DOCTEUR ANGE GUEPIN PORNIC 44210 ZAC DE LA CHAUSSEE,Production d'électricité
21120141300021,MARTRIN 12550,Enseignement primaire
03914705300019,59 RUE LA FAYETTE PARIS 75009 R MR CASSOU RENE,Activités combinées de soutien lié aux bâtiments
01234793600010,TROARN 14670,Activités combinées de soutien lié aux bâtiments
21410144600018,24 RUE VALLEE MONTEAUX 41150,Administration publique générale
30162188401014,10 RUE ARAGO BEAUVAIS 60000 ZAC DE THER,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration
30340872800044,CANSAUD CHATEAUNEUF-DU-PAPE 84230,"Fabrication de cacao, chocolat et de produits de confiserie"
09412141500015,PL DU MARCHE MAMOUDZOU 97600,Autres commerces de détail sur éventaires et marchés
21880241100056,84 RUE DE LA MAIRIE HOUECOURT 88170 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
25150294400035,RUYNES-EN-MARGERIDE 15320,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
21020697500018,2 RUE D’ALLAN SOMMELANS 02470,Administration publique générale
26710674800267,1 RUE FRANCIS POULENC BLANZY 71450,Hébergement social pour handicapés mentaux et malades mentaux
21690081100086,48 AV PAUL SANTY ECULLY 69130,Enseignement pré-primaire
30198406800017,18 RUE DES ECOLES LA ROMAGNE 49740,Enseignement primaire
13001022600012,26 RUE JEAN JAURES LA ROCHE-SUR-YON 85000,Administration publique générale
21971115700061,RTE DE PIERRETTE LAMENTIN 97129,Enseignement primaire
06620009800086,LA NOELLE ANCENIS-SAINT-GEREON 44150,Commerce de gros (commerce interentreprises) de volailles et gibier
03920257700019,29 RUE DE MOGADOR PARIS 75009 IGNY SUR MARNE,Activités combinées de soutien lié aux bâtiments
21060057300039,CENTRE MEDICO SOCIAL L'ESCARENE 06440,Autres activités des médecins spécialistes
30146004400011,1 QUAI PASTEUR NEUFCHATEAU 88300,Commerce de voitures et de véhicules automobiles légers
30287641200016,4 RUE DES FALLOISES BLANCS-COTEAUX 51130,Enseignement primaire
25760089000020,1 PLACE DU GENERAL LECLERC FECAMP 76400 MAIRIE,Collecte et traitement des eaux usées
21590123200011,RUE DU GENERAL DE GAULLE CAMPHIN-EN-CAREMBAULT 59133,Administration publique générale
19457780500014,28 RUE DU CHATEAU D'EAU LES BORDES 45460,Enseignement secondaire général
21150055800070,LE BOURG COREN 15100 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
26610589900014,PLACE DU CHATEAU GACE 61230 MAIRIE,Action sociale sans hébergement n.c.a.
19790014500016,18 AV DE L'HOTEL DE VILLE CHEF-BOUTONNE 79110,Enseignement secondaire général
04012093300011,59 COURS GAMBETTA LYON 69007,Activités combinées de soutien lié aux bâtiments
21060155500019,PLACE JACQUES CAVASSE VALLAURIS 06220,Administration publique générale
06630130000019,28 RUE DU SMIAM PAMANDZI 97615,Travaux d'installation d'eau et de gaz en tous locaux
21640260200215,PLACE DE LA REPUBLIQUE HENDAYE 64700,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
03876495700015,57 RUE DU POTEAU PARIS 75018 RIS REP PAR,Activités combinées de soutien lié aux bâtiments
03889902700015,190 RUE GALLIENI BOULOGNE-BILLANCOURT 92100,Activités combinées de soutien lié aux bâtiments
20006017600266,RUE DE LA MONDERIE VIRE-NORMANDIE 14500 RTE DE MAISONCELLES,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
04384790400018,9 RUE RENE BOULANGER PARIS 75010,Activités combinées de soutien lié aux bâtiments
03871721100015,35 RUE DE LYON PARIS 75012,Activités combinées de soutien lié aux bâtiments
20005992100037,30 RUE MAURICE LEMAIRE PROVENCHERES-ET-COLROY 88490,Administration publique générale
21730087000078,2 RUE DES ECOLES COGNIN 73160,Enseignement pré-primaire
26140031100013,PLACE DE LA MAIRIE DOZULE 14430 MAIRIE,Action sociale sans hébergement n.c.a.
29020012000019,PLACE DE LA MAIRIE NOGENTEL 02400,Construction d'autres ouvrages de génie civil n.c.a.
25760340700012,3 ROUTE DE L'EGLISE MONTEROLIER 76680,Administration publique générale
21500450800036,7 RUE DE LA LIBERTE SAINT-BARTHELEMY 50140,Administration publique générale
12002701600605,5 VOIE GISELE HALIMI BESANCON 25000,Administration publique générale
21050036900017,LES AUBERGERIES CHATEAUROUX-LES-ALPES 05380 HOTEL DE VILLE,Administration publique générale
03907447100028,47 RUE GALILEE PARIS 75016,Activités combinées de soutien lié aux bâtiments
20004043400017,AVENUE DE VERDUN AIZENAY 85190 MAIRIE,Administration publique (tutelle) des activités économiques
21440020200468,RUE ARISTIDE BRIAND BOUGUENAIS 44340,Activités d’ordre public et de sécurité
03902861800013,13 RUE LA BOETIE PARIS 75008 RIS REP PAR,Activités combinées de soutien lié aux bâtiments
21560252500036,PL DE ROUVRAN LE TOUR-DU-PARC 56370,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
20005521800024,RUE DE L'EGLISE BELLEVIGNE-EN-LAYON 49380,Administration publique générale
03911550600014,7 RUE FEROU PARIS 75006 RIS REP PAR,Activités combinées de soutien lié aux bâtiments
03894267800012,96 AVENUE VICTOR HUGO CLAMART 92140,Activités combinées de soutien lié aux bâtiments
09938292100023,RUE DE LA MANGROVE MAMOUDZOU 97600 ZI KAWENI,Construction de réseaux pour fluides
21840081000022,RUE A CALMETTE MORIERES LES AVIGNON 84310,Enseignement pré-primaire
30357334900022,292 RUE DU LIEUTENANT GUIGON DOMPAIRE 88270,Commerce de gros (commerce interentreprises) de matériel agricole
30380216900050,65 RUE ROBERT LE COQ AMIENS 80000,Location de logements
01995340500016,1 AVENUE LE MESNIL NICE 06200 STELLA MARIS,Activités combinées de soutien lié aux bâtiments
21270065200069,PL GENERAL DE GAULLE BEUZEVILLE 27210 MAIRIE,Collecte et traitement des eaux usées
30303116500010,RUE ROBERT MARCOMBE CHELLES 77500 AERODROME DE CHELLES LE PI,Activités de clubs de sports
21890270800013,19 RUE MARETS MOUFFY 89560,Administration publique générale
20007225400085,3 PL DE LA MAIRIE BAZOUGES CRE SUR LOIR 72200,Construction d'autres ouvrages de génie civil n.c.a.
21310555403680,73 RUE DU TAUR TOULOUSE 31000,Accueil de jeunes enfants
21760498200322,197 RUE DU PRESIDENT KENNEDY LE PETIT-QUEVILLY 76140,Autre accueil ou accompagnement sans hébergement d’enfants
19681166500286,17 RUE ALFRED WERNER MULHOUSE 68200,Enseignement supérieur
19110859600013,19 RUE DES ETUDES LIMOUX 11300,Enseignement secondaire général
30101236500013,840 ROUTE DE LA BATIE SAINT-CLAIR-DE-LA-TOUR 38110,Autres organisations fonctionnant par adhésion volontaire
04009143100011,3 PLACE JULES FERRY LYON 69006,Activités combinées de soutien lié aux bâtiments
24770070100029,4 RUE RENE CASSIN NANGIS 77370,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
26440013600455,68 BOULEVARD ALBERT EINSTEIN NANTES 44300 CENTRE PENITENTIAIRE,Hébergement social pour toxicomanes
21280139300019,2 RUE MARCHAIS EPEAUTROLLES 28120,Administration publique générale
04383434000010,21 AVENUE DE VILLIERS PARIS 75017,Activités combinées de soutien lié aux bâtiments
25240533700012,80 RUE DE LA LIBERATION MUSSIDAN 24400 MAIRIE DE MUSSIDAN,Collecte et traitement des eaux usées
21510195700029,GRANDE RUE DOMMARTIN-DAMPIERRE 51800 MAIRIE,"Captage, traitement et distribution d'eau"
22790001600352,MAIL LUCIE AUBRAC NIORT 79000,Administration publique générale
24020047700133,11 AVENUE FRANCOIS MITTERRAND CUFFIES 02880,Construction d'autres ouvrages de génie civil n.c.a.
21860091400012,PLACE DE LA MAIRIE CURZAY-SUR-VONNE 86600,Administration publique générale
03898880400019,JARDINS BOIELDIEU PUTEAUX 92800 CP M.J.J. ROBIN,Activités combinées de soutien lié aux bâtiments
21330194800013,1 LE BOURG GREZILLAC 33420,Administration publique générale
17570111900125,3 RUE HAUTE PIERRE METZ 57000,Justice
22800001400222,55 RUE VICTORINE AUTIER AMIENS 80090,Activité des médecins généralistes
03928298300012,6 RUE MICHEL PETER PARIS 75013,Activités combinées de soutien lié aux bâtiments
19620161000017,42 RUE GAMBETTA SAINT-OMER 62500,Enseignement secondaire général
26110294100018,8 RUE JEAN JAURES COUFFOULENS 11250 MAIRIE,Action sociale sans hébergement n.c.a.
21790086900025,CHERVEUX 79410,Autres services de restauration n.c.a.
26261008200097,PLACE LEOPOLD BLANC MONTELIMAR 26200,Action sociale sans hébergement n.c.a.
21232695300016,RUE CAMILLE BENASSY ROYERE-DE-VASSIVIERE 23460 MAIRIE,Administration publique générale
21610348100018,LE BOURG REVEILLON 61400,Administration publique générale
13001166100605,AVENUE DU BON REPOS THIERS 63300,Administration publique générale
21800019800331,RUE CONDORCET AMIENS 80090,Enseignement primaire
03904510900012,36 RUE DE RICHELIEU PARIS 75001,Activités combinées de soutien lié aux bâtiments
21510201300137,RTE DE VINCELLES DORMANS 51700,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
20006952400060,31 RUE DE VIRE LES MONTS D'AUNAY 14260,Construction d'autres ouvrages de génie civil n.c.a.
29520405100011,PLESNOY PLESNOY 52360 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
21890061100029,14 RUE DE FAUSSE BILON BUTTEAUX 89360,Enseignement primaire
30043328100015,2 RUE D'OSSUN PROLONGEE LUZ-SAINT-SAUVEUR 65120 MAIRIE,Autres organisations fonctionnant par adhésion volontaire
05650224801370,ROUTE DEPARTEMENTALE 8 BOUCOIRAN-ET-NOZIERES 30190,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
25320065300017,MAIRIE LOUBEDAT 32110,"Captage, traitement et distribution d'eau"
21440109301310,5 RUE DE MADRID NANTES 44000,Enseignement pré-primaire
13002608100344,38 RUE BARTHELEMY DE LAFFEMAS VALENCE 26000,Enseignement supérieur
29880192900019,22 RUE DE LA MAIRIE LIRONCOURT 88410 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
26020917600015,RUE DE VERDUN HOUSSET 02250 MAIRIE,Action sociale sans hébergement n.c.a.
21170299800165,2 RUE LOUIS LUMIERE ROCHEFORT 17300,Enseignement pré-primaire
21650275700018,LIES 65200,Administration publique générale
03872297100017,22 RUE DU DISQUE PARIS 75013,Activités combinées de soutien lié aux bâtiments
19622793800012,5 RUE DU COLLEGE BILLY-MONTIGNY 62420,Enseignement secondaire général
21720181300946,36 RUE DE RICHEBOURG LE MANS 72000,Enseignement pré-primaire
03933195400014,57 RUE SAINTE-ANNE PARIS 75002,Activités combinées de soutien lié aux bâtiments
21120145400058,RUE DU GENERAL COSSE MILLAU 12100,Enseignement pré-primaire
21940042100026,23 RUE DE PARIS JOINVILLE-LE-PONT 94340,Hébergement touristique et autre hébergement de courte durée
21820188700021,VARENNES LABASTIDE ST PIER VARENNES 82370,Enseignement primaire
29700363400013,13 GRAND RUE MONTIGNY-LES-VESOUL 70000 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
26570047600012,31 RUE JEAN MOULIN EBLANGE 57220 MAIRIE,Action sociale sans hébergement n.c.a.
21330083300059,MAIRIE CAMARSAC 33750,Location de terrains et d'autres biens immobiliers
21280056900023,4 RUE DU ROSAIRE BOUTIGNY-PROUAIS 28410,Enseignement primaire
29880068100017,1 RUE DE L'ANCIENNE GARE ORTONCOURT 88700 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
03905058800019,19 RUE TREILHARD PARIS 75008,Activités combinées de soutien lié aux bâtiments
21540586100018,2 RUE DE LA MAIRIE VITERNE 54123,Administration publique générale
02100579800018,BOULEVARD JEAN JAURES DRAGUIGNAN 83300,Activités combinées de soutien lié aux bâtiments
08781884500015,7 RUE BONHOMME REIMS 51100 MME DOLLE ELIANE,Activités combinées de soutien lié aux bâtiments
03938089400012,8 AVENUE DE CHATEAU DU LOIR COURBEVOIE 92400 2 BOIS COLOMBES REP,Activités combinées de soutien lié aux bâtiments
20004200000048,4 RUE DE LA 36.EME DIVISION U.S. BRUYERES 88600,Aide à domicile
00971708300019,33 RUE SADI CARNOT SAINTE-SAVINE 10300 IMMEUBLE,Activités combinées de soutien lié aux bâtiments
03871292300010,45 AVENUE PARMENTIER PARIS 75011,Activités combinées de soutien lié aux bâtiments
26440282700010,MAIRIE SAINT-LEGER-LES-VIGNES 44710,Action sociale sans hébergement n.c.a.
03907845600017,69 BOULEVARD BERTHIER PARIS 75017 RIS REP PAR,Activités combinées de soutien lié aux bâtiments
30158034600031,L'OISILLON BARBEZIEUX-SAINT-HILAIRE 16300,Location de terrains et d'autres biens immobiliers
04229782000013,9 RUE CARNOT CLUSES 74300,Activités combinées de soutien lié aux bâtiments
21540538200031,RUE DE L'EGLISE URUFFE 54112,Exploitation forestière
30337530700012,QUAI DE LA LANDE TOSSE 40230,Location de terrains et d'autres biens immobiliers
26840338300014,32 AVENUE ANTOINE VIVALDI AVIGNON 84000,Hébergement médicalisé pour enfants handicapés
21400273500055,QUARTIER NEUF SAINT-MARTIN-DE-SEIGNANX 40390,Enseignement primaire
30232102100024,ALL PIERRE ORTAL LACANAU 33680 ANGLE LIEUT.DURAND,Restauration traditionnelle
21300230600032,SAINT-ANDRE-DE-ROQUEPERTUIS 30630,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
21570759700013,12 RUE PRINCIPALE ZARBELING 57340,Administration publique générale
29450167100019,1 RUE PRUDENT HARRY CORQUILLEROY 45120 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
17120431600086,BOULEVARD ARISTIDE BRIAND SAINT-AFFRIQUE 12400,Activités de soutien à l'enseignement
13001278400067,LD PLAINE DU PESQUIE LAGARRIGUE 81090,Services auxiliaires des transports aériens
21060027600302,10 CHEMIN DU COLLET DES GRAILLES CAGNES-SUR-MER 06800,Accueil de jeunes enfants
21700207000043,15 BIS RUE PARMENTIER ECHENOZ-LA-MELINE 70000,Enseignement pré-primaire
21590450900019,RUE DU CAPITAINE D'ARCHE ORS 59360,Administration publique générale
09412215700012,PL DU MARCHE MAMOUDZOU 97600,Autres commerces de détail sur éventaires et marchés
19470046400010,285 AVENUE CHARLES DE GAULLE FUMEL 47500,Enseignement secondaire général
21310262700022,LE VILLAGE LAGARDE 31290,Enseignement pré-primaire
03929821100010,68 RUE DES BELLES FEUILLES PARIS 75016,Activités combinées de soutien lié aux bâtiments
06631141600029,2 RUE MASSAKINI ZONE NUM 01 MAMOUDZOU 97600 KAWENI,Fabrication de portes et fenêtres en métal
01977142700010,AV BELLEVUE CANNES 06150,Activités combinées de soutien lié aux bâtiments
26500107300146,715 RUE HENRI DUNANT SAINT-LO 50000,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
03910168800016,28 RUE DE LA CLEF PARIS 75005 75005 PARIS REP PAR,Activités combinées de soutien lié aux bâtiments
30337658601455,5 BOULEVARD MARCEL DASSAULT JONAGE 69330 DARTY BT SAV,Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin
03889854000018,57 RUE HOCHE PANTIN 93500 VILLIERS REP PAR,Activités combinées de soutien lié aux bâtiments
20006352700010,72 GRAND RUE JAUNAY-MARIGNY 86130 MAIRIE,Action sociale sans hébergement n.c.a.
21070181900034,6 RUE DE L'HOTEL DE VILLE LE POUZIN 07250,Enseignement primaire
04765613700024,26 RUE DE LA SABLONNIERE DREUX 28100,Activités combinées de soutien lié aux bâtiments
17210111500555,RUE DU TRIBUNAL BEAUNE 21200,Justice
21950351300075,SQUARE GEORGES SEURAT LOUVRES 95380,Enseignement pré-primaire
21880032400061,2 PLACE EUGENE GRANDJEAN BAN-DE-LAVELINE 88520,Exploitation forestière
21640400400022,5 RUE ANNETTE MONTAUT 64800,Enseignement primaire
21540578800112,149 RUE DE VANDOEUVRE VILLERS-LES-NANCY 54600 PARC DE REMICOURT,Enseignement primaire
19974841900017,RUE AUGUSTE LARREE SAINT-LOUIS 97450,Enseignement secondaire général
13001779102626,1076 RUE DES ECLUSES LONGUEIL-SAINTE-MARIE 60126,Administration publique (tutelle) des activités économiques
21710314200014,MONTJAY 71310,Administration publique générale
03914301100011,80 RUE DE GERGOVIE PARIS 75014 80 AU 82,Activités combinées de soutien lié aux bâtiments
30134058406340,5 ALLEE DES NOIRES TERRES PULNOY 54425,Activités des syndicats de salariés
12006002501438,13 RUE DES MOULINS LE PUY-EN-VELAY 43000 DDE,Administration publique (tutelle) des activités économiques
21170236000085,10 PLACE DE LA MAIRIE MIRAMBEAU 17150,Construction d'autres ouvrages de génie civil n.c.a.
03925226700016,123 BOULEVARD MASSENA PARIS 75013,Activités combinées de soutien lié aux bâtiments
21020414500028,4 ROUTE DE RIBEAUVILLE LOGNY-LES-AUBENTON 02500 MAIRIE,Sylviculture et autres activités forestières
21730330400042,PLACE CHARLES DULLIN YENNE 73170 MAIRIE,Collecte et traitement des eaux usées
21320192400023,LANNUX 32400,Enseignement pré-primaire
21620609400015,1 RUE DU CANADA NEUVILLE-SAINT-VAAST 62580,Administration publique générale
06920061600030,26 RUE D'ANJOU - ST MACAIRE SEVREMOINE 49230 L ESSART,Entreposage et stockage non frigorifique
13000548116420,16 RUE SOEUR CESARINE SAINT-PIERRE 97500 SAINT PIERRE,Administration publique (tutelle) des activités économiques
30355607000017,DOMAINE DU BANVIN CAIRANNE 84290,Culture de la vigne
21380185501443,1 RUE AUGEREAU GRENOBLE 38000,Hébergement social pour personnes âgées
30186821200012,LD LA FRUITIERE SAINTE-TULLE 04220,Culture de fruits à pépins et à noyau
21610140200065,1 RUE XAVIER JENNY CRULAI 61300 MAIRIE,Location de terrains et d'autres biens immobiliers
00857525000017,8 RUE BASTONNIER RETHEL 08300,Activités combinées de soutien lié aux bâtiments
03876125000018,76 PLACE DU DOCTEUR FELIX LOBLIGEOIS PARIS 75017,Activités combinées de soutien lié aux bâtiments
21260127200017,EYGALIERS 26170 HOTEL DE VILLE,Administration publique générale
21210078800018,BISSEY-LA-PIERRE 21330,Administration publique générale
02151364300011,130 AVENUE COROT MARSEILLE 13013 PRO PARC COROT BLOC H,Activités combinées de soutien lié aux bâtiments
21030164400022,63 ROUTE NATIONALE 9 LE MAYET-D'ECOLE 03800,Enseignement primaire
04705017400086,BOULEVARD VAUBAN CAMBRAI 59400,Transports routiers réguliers de voyageurs
20006340200263,12 AV AUGUSTE RENOIR ANNECY 74000,Enseignement primaire
21120148800130,20 PLACE DE L'EGLISE MONTBAZENS 12220,Production d'électricité
21350329500072,8 RUE DE LA FORGE SOUGEAL 35610 MAIRIE,Location de terrains et d'autres biens immobiliers
03932643400014,19 RUE DE MILAN PARIS 75009 RIS REP PAR SARL GES,Activités combinées de soutien lié aux bâtiments
30149990100033,89 RUE DU CHATEAU BOULOGNE-BILLANCOURT 92100,Études de marché et sondages
13001290900565,12 RUE COEHORN MULHOUSE 68100,Administration publique générale
21130010800076,2 IMPASSE DE LA COTE BARBENTANE 13570,Accueil de jeunes enfants
21400218000021,QUA SAINT CRICQ PARLEBOSCQ 40310,Enseignement primaire
01976839900016,21 RUE BERLIOZ NICE 06000,Activités combinées de soutien lié aux bâtiments
02403996800011,QUA BONOVO BANDRELE 97660,Travaux de maçonnerie générale et gros œuvre de bâtiment
03897792200012,38 RUE NOTRE-DAME DE NAZARETH PARIS 75003 8 PARIS REP PAR SA,Activités combinées de soutien lié aux bâtiments
21790208900069,12 PLACE DES MARRONNIERS LA PEYRATTE 79200 MAIRIE,Location de terrains et d'autres biens immobiliers
03930508100018,71 RUE DE PROVENCE PARIS 75009 RIS REP PAR SA CABIN,Activités combinées de soutien lié aux bâtiments
30008681600018,4 PL NEUVE GENEVE,Location de logements
29250117800019,MAIRIE VILLERS-LE-LAC 25130,Construction d'autres ouvrages de génie civil n.c.a.
03897661900015,13 BOULEVARD PEREIRE PARIS 75017,Activités combinées de soutien lié aux bâtiments
24140013400037,RANVILLE 14860 MAIRIE,"Captage, traitement et distribution d'eau"
03925108700019,16 RUE CAVENDISH PARIS 75019 REP PAR MME GANVERT,Activités combinées de soutien lié aux bâtiments
26920056400012,10 GRANDE RUE VAUCRESSON 92420,Action sociale sans hébergement n.c.a.
03844953400015,4 RUE CHARLES NUNGESSER PFASTATT 68120,Activités combinées de soutien lié aux bâtiments
21290073200109,1 HENT LOKIREG GUIMAEC 29620 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
21920009400221,35 RUE GRAMME BOIS-COLOMBES 92270,Accueil de jeunes enfants
21330075900122,28 RUE DU REDUIT BRUGES 33520,Enseignement primaire
26540020000167,17 RUE DU ROND POIRIER VAL DE BRIEY 54150,Hébergement médicalisé pour personnes âgées
21330449600077,72 RUE ROLAND GARROS SAINT-MEDARD-EN-JALLES 33160,Enseignement pré-primaire
26490253700150,RTE DE SEGRE OMBREE D'ANJOU 49420,Accueil ou accompagnement sans hébergement d’adultes handicapés ou de  personnes âgées
13001322000285,1 RUE DU 19 MARS 1962 DOUARNENEZ 29100 CENTRE DES FINANCES PUBLIQUES,Administration publique générale
21620404000028,7 RUE DE LA HAYETTE HALLOY 62760,Enseignement primaire
21972220400027,RUE DECEMBRE 1959 RIVIERE-PILOTE 97211,Enseignement primaire
21974020600053,239 BAGATELLE SAINTE-SUZANNE 97441,Enseignement primaire
21500332800097,LES DEUX EGLISES LES MOITIERS-D'ALLONNE 50270 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
17720431000532,10 RUE DES ACACIAS ALLONNES 72700 ECOLE JULES FERRY,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
28060051100263,140 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY VILLENEUVE-LOUBET 06270,Autres services de restauration n.c.a.
21710589900041,MAIRIE VITRY-SUR-LOIRE 71140,Location de terrains et d'autres biens immobiliers
03933538500017,84 AVENUE DE CHOISY PARIS 75013,Activités combinées de soutien lié aux bâtiments
02100525100018,ENGOUVINS LENTISQUES LA VALETTE DU VAR 83160 ENGOUVINS NORD,Activités combinées de soutien lié aux bâtiments
26350466400016,5 RUE RAPHAEL DE FOLLIGNE LA GOUESNIERE 35350 MAIRIE,Action sociale sans hébergement n.c.a.
19730016300015,119 AVENUE MARIUS BERROIR CHAMBERY 73000,Enseignement secondaire général
21160019200010,1661 RTE DU RODIN ASNIERES-SUR-NOUERE 16290,Administration publique générale
20002486700018,PLACE DE LA MAIRIE ROMANSWILLER 67310 MAIRIE,Administration publique (tutelle) des activités économiques
03900193800016,28 RUE TRONCHET PARIS 75009 RIS REP PAR SA CABIN,Activités combinées de soutien lié aux bâtiments
30127594700093,70 RUE DES FUSILLES DE POULGUEN GUILVINEC 29730,Location de terrains et d'autres biens immobiliers
21260068800015,LE CHALON 26350 HOTEL DE VILLE,Administration publique générale
26340011100070,12 RUE D’ASSAS AGDE 34300,Activités hospitalières
21170393900051,43 RUE DU MARECHAL LECLERC SAINT-ROMAIN-DE-BENET 17600,Construction d'autres ouvrages de génie civil n.c.a.
30316054300037,COURS DE VERDUN PERRACHE LYON 69002,Location de courte durée de voitures et de véhicules automobiles légers
05780767900014,5 RUE D AIGUILLON MARSEILLE 9 13009,
26020154600017,9 RUE DE LA MAIRIE CHALANDRY 02270 MAIRIE,Action sociale sans hébergement n.c.a.
26610048600080,10 RUE DU DOCTEUR FRINAULT L'AIGLE 61300,Hébergement médicalisé pour personnes âgées
21340002100027,7 AVENUE DU GENERAL DE GAULLE ADISSAN 34230,Enseignement primaire
21240293700016,13 ROUTE DE LA LENOTTE MONPLAISANT 24170,Administration publique générale
06550173600071,4 RUE DES ILES DOMENE 38420 ZI DES ILES,Travaux de maçonnerie générale et gros œuvre de bâtiment
21120307000043,CURAN 12410 MAIRIE,Collecte et traitement des eaux usées
30214866300198,38 RUE JEANNE D'ARC INGERSHEIM 68040,Enseignement de disciplines sportives et d'activités de loisirs
04010215400016,18 RUE PAILLERON LYON 69004,Activités combinées de soutien lié aux bâtiments
20005341100035,1 RUE PETIT MORIN DHUYS ET MORIN-EN-BRIE 02330,Administration publique générale
21110132400047,AVENUE DE L’ANCIENNE GARE FABREZAN 11200,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
04054326600015,RUE DES FAYETTES VILLEFRANCHE-SUR-SAONE 69400,Activités combinées de soutien lié aux bâtiments
09558076700036,3 RUE VICTOR HUGO BIZANOS 64320,Travaux de menuiserie métallique et serrurerie
03885253900014,61 RUE DE L'ALMA COURBEVOIE 92400 SNES REP PAR,Activités combinées de soutien lié aux bâtiments
20000421600012,15 PLACE DE LA REPUBLIQUE LA BOURBOULE 63150 MAIRIE,Administration publique générale
03917471900011,32 AVENUE PASTEUR COURBEVOIE 92400 92 LA GARENNE COLOM,Activités combinées de soutien lié aux bâtiments
21660016300036,RUE JULES FERRY BANYULS-SUR-MER 66650,Enseignement primaire
22490001900817,2 RUE HENRI REGNIER SEICHES-SUR-LE-LOIR 49140 LOCAL DU GAPP - ECOLE,Autres activités des médecins spécialistes
21380530200022,16 RUE CENTRALE VAULX-MILIEU 38090,Enseignement primaire
13001305500517,RUE DU ONZE NOVEMBRE HERICOURT 70400,Administration publique générale
29680106100015,1 RUE DE MASEVAUX TRAUBACH-LE-HAUT 68210 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
03895411100019,5 RUE PIERRE LOUVRIER CLAMART 92140 NEUILLY SUR SEINE,Activités combinées de soutien lié aux bâtiments
30184737200036,AVENUE DE LA FELTIERE FAMECK 57290 CENTRE COMMERCIAL FERIAL,Commerce de détail d'habillement en magasin spécialisé
04206580500014,13 RUE COMMANDANT LENOIR ECHIROLLES 38130,Activités combinées de soutien lié aux bâtiments
03910192800016,3 RUE DU VIEUX COLOMBIER PARIS 75006 Y,Activités combinées de soutien lié aux bâtiments
21440022800083,4 RUE DU VAL DE SEVRE BOUSSAY 44190 MAIRIE,Location de terrains et d'autres biens immobiliers
03904603200015,14 RUE DU DOBROPOL PARIS 75017 14-16,Activités combinées de soutien lié aux bâtiments
03886657000013,36 RUE DE LA LEGION D'HONNEUR SAINT-DENIS 93200 INT DENIS REP PAR,Activités combinées de soutien lié aux bâtiments
21450208000135,8 RUE DE LA PONTONNERIE MONTARGIS 45200,Enseignement primaire
21810024600022,LE BOURG BEAUVAIS-SUR-TESCOU 81630,Enseignement pré-primaire
26600676600015,PLACE FRANCOIS MITTERRAND VILLERS-SAINT-PAUL 60870 MAIRIE,Action sociale sans hébergement n.c.a.
20007247800072,9 AVENUE DE LA LIBERATION GUINES 62340 MINOTERIE BOUTOILLE,Construction d'autres ouvrages de génie civil n.c.a.
20005578800232,4 RUE DU DOCTEUR GAUTHEREAU CHARNY OREE DE PUISAYE 89120,Enseignement primaire
21150095400022,VERCUERES LAROQUEVIEILLE 15250,Enseignement primaire
